,searched_company,company_type,job_id,min_salary,max_salary,gen_ai_flag,jobcat_flag_engineering_it,jobcat_flag_finance,jobcat_flag_hr_admin,jobcat_flag_legal,jobcat_flag_marketing,jobcat_flag_operations_cs,jobcat_flag_product_rnd,jobcat_flag_sales,nyc_flag,chi_flag,sf_flag,sea_flag,name,full_name,ticker,exchange,auditRisk,marketCap,totalRevenue,revenuePerShare,revenueGrowth,trailingEps,forwardEps,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice
99,Trumid,startups,9,166666.66666666666,223333.33333333334,0.0,4,0,2,0,0,1,0,2,2,0,0,0,,,,,,,,,,,,,,,,
100,Tryg,none,2,45000.0,60000.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
101,Unanet,startups,1,75000.0,85000.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
102,"Upgrade, Inc.",startups,10,80000.0,86666.66666666667,0.0,6,0,3,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
103,Upside,startups,6,153787.6,200940.4,0.0,0,0,1,0,1,2,0,2,4,0,0,0,,,,,,,,,,,,,,,,
104,Upstart,public,12,174908.33333333334,236150.0,0.0,5,1,2,2,1,1,0,0,0,0,0,0,Upstart,Upstart Holdings Inc.,UPST,NASDAQ,1.0,5206382080.0,604944000.0,6.89,0.201,-1.91,0.38,57.07,100.0,12.0,62.7,75.0
105,Valon,startups,11,117250.0,169000.0,0.0,3,0,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
106,Venmo,startups,10,98500.0,222126.66666666666,0.0,4,0,4,0,2,0,0,0,5,1,0,0,,,,,,,,,,,,,,,,
107,Visa,public,14,127820.0,168045.0,0.14285714285714285,4,0,0,1,1,6,1,1,0,0,1,0,Visa,Visa Inc.,V,NYSE,10.0,594341396480.0,35925999616.0,19.589,0.117,9.72,12.66,306.92,378.0,274.12,335.19778,340.0
108,W. R. Berkley,public,96,102500.0,145500.0,0.010416666666666666,15,36,8,6,0,25,6,0,1,2,0,2,W. R. Berkley,W. R. Berkley,WRB,NYSE,10.0,21835253760.0,13192565760.0,32.89,0.122,3.9,4.35,57.3,76.0,50.0,64.0,65.0
109,WISE,startups,22,100000.0,100000.0,0.0,3,2,2,1,1,3,0,10,0,2,2,0,,,,,,,,,,,,,,,,
110,Wealthfront,startups,10,128944.44444444444,155666.66666666666,0.0,6,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
111,Wolverine Trading,startups,10,108571.42857142857,150000.0,0.0,4,1,0,1,0,2,2,0,0,9,0,0,,,,,,,,,,,,,,,,
112,Zone & Co,startups,2,,,0.0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,
113,ePayPolicy,startups,5,,,0.0,2,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,
114,iCapital,startups,27,142750.0,182000.0,0.0,5,3,1,5,1,9,1,2,17,0,0,0,,,,,,,,,,,,,,,,
